"D_DF1_sample-1"	"D_DF1_sample-2"	"D_DF1_sample-3"	"D_DF1-I_sample-1"	"D_DF1-I_sample-2"	"D_DF1-I_sample-3"	"D_DF1-P_sample-1"	"D_DF1-P_sample-2"	"D_DF1-P_sample-3"	"D_DF1-P-I_sample-1"	"D_DF1-P-I_sample-2"	"D_DF1-P-I_sample-3"	"D_DF1-PC_sample-1"	"D_DF1-PC_sample-2"	"D_DF1-PC_sample-3"	"D_DF1-PC-I_sample-1"	"D_DF1-PC-I_sample-2"	"D_DF1-PC-I_sample-3"
"DNAJC28"	45	115	87	131	109	118	52	78	46	41	57	49	111	174	99	90	67	79
"GART-B"	69	94	75	55	65	50	70	55	48	63	60	82	42	61	56	56	48	56
"GART"	3898	5570	4838	3563	3623	3822	2452	2324	2458	2189	2437	2726	3108	3580	3723	3708	3656	4016
"SON"	5147	11558	7444	9801	10285	9866	11638	16835	9586	10896	11312	11826	14104	17200	12989	16321	15932	20643
"DONSON"	558	815	693	305	312	388	421	282	481	378	402	454	384	449	454	464	442	403
"CRYZL1"	1312	1627	1638	608	636	582	716	617	679	615	644	687	950	1060	1335	996	969	971
"ITSN1"	2101	4833	2884	4095	4515	4524	5056	4166	3624	3545	3457	3936	6363	5889	7241	7859	7138	9514
"ATP5O"	1919	2356	2153	1200	1204	1136	1223	1125	1237	1205	1349	1394	1808	2316	1951	1553	1519	1561
"LOC107055362"	18	17	30	32	35	26	15	14	15	9	16	13	13	15	15	27	14	24
"MRPS6"	625	738	775	242	258	254	484	457	444	380	432	413	610	654	654	426	509	455
"SLC5A3"	840	1608	1160	571	539	572	1037	822	1067	911	1026	1155	773	813	892	1079	1213	1171
"LOC101748003"	0	2	4	7	5	4	6	5	5	6	9	3	3	0	0	2	2	0
"KCNE2"	15	16	14	14	10	14	20	16	13	12	21	20	24	29	31	8	12	12
"MIR3524"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMIM11"	572	505	643	249	236	189	107	173	115	88	94	78	259	238	372	279	307	349
"C21orf140"	0	0	0	0	3	0	1	1	2	0	0	1	1	2	5	0	2	2
"LOC107055374"	1	0	3	2	10	6	0	0	1	0	0	0	0	0	0	1	1	0
"KCNE1"	2	3	6	73	87	97	0	1	0	0	2	0	1	3	1	21	28	31
"RCAN1"	5907	6998	6455	18315	18643	18988	1857	1624	1894	1509	1753	1932	5662	5128	7048	12289	13549	13945
"CLIC6"	0	2	5	4	4	8	0	1	0	0	0	1	0	0	0	1	0	0
"LOC121109467"	1	0	0	12	9	10	0	0	2	0	0	1	2	0	1	0	0	2
"LOC101748524"	19	37	22	36	50	47	11	12	13	19	15	15	18	8	15	23	18	17
"RUNX1"	2771	4149	3505	5662	6900	7519	2240	1378	2363	2602	2915	3048	3363	3621	3548	3935	3959	4145
"LOC121109468"	14	9	12	25	39	27	7	6	6	2	5	6	6	7	10	10	9	18
"LOC121109469"	2	1	3	32	52	40	4	8	4	2	3	6	4	4	3	4	6	7
"LOC121109470"	0	0	0	32	31	22	0	0	0	0	0	2	1	0	0	0	0	0
"LOC101748638"	2	4	3	63	73	77	0	0	0	0	0	0	0	0	0	0	1	2
"LOC121108233"	6	1	3	68	69	90	0	0	0	0	0	0	0	0	0	0	0	0
"LOC124417432"	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0
"SETD4"	74	107	92	47	86	58	83	60	62	52	67	72	91	87	126	43	64	69
"CBR3"	734	1334	1521	214	234	256	1214	521	1086	1023	1219	1266	1445	1771	1414	458	508	406
"DOP1B"	878	1616	1382	396	398	418	1312	1025	1323	1260	1431	1471	1593	1753	1398	818	932	907
"MIR7452"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC107055385"	8	9	4	29	39	38	8	2	2	1	4	7	5	3	4	2	4	2
"MORC4"	2082	3500	2754	10495	10520	10260	1778	2451	1537	1434	1494	1644	2290	2223	2972	5559	5616	7092
"CHAF1B"	665	1338	1125	1143	1225	1279	1139	1304	1012	1270	1292	1199	948	1364	868	751	783	755
"CLDN14"	0	0	0	6	2	3	0	0	0	0	0	0	0	1	0	0	0	0
"LOC121107509"	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	3	1	0
"SIM2"	12	28	22	9	19	10	7	13	21	13	15	21	21	22	17	4	10	7
"HLCS"	1937	3285	2807	2264	2557	2578	1624	1538	1555	1416	1730	1805	2508	2738	2932	2505	2550	2579
"LOC121107510"	0	0	1	2	1	2	0	0	2	1	0	0	0	0	0	0	0	0
"RIPPLY3"	0	1	1	5	1	5	0	0	3	0	0	0	0	0	0	2	2	3
"PIGP"	1097	1208	1198	715	694	649	539	585	551	472	507	551	808	780	1012	780	824	792
"TTC3"	1276	2516	1892	13378	14461	14287	2454	2720	2122	2032	2043	2508	3176	3206	3541	2873	2442	3097
"DSCR3"	1331	1886	1617	898	875	777	948	890	907	830	887	944	1380	1480	1511	1241	1315	1330
"LOC121107521"	31	56	37	66	125	117	35	29	36	34	33	48	26	16	22	44	55	145
"DYRK1A"	2161	3760	2722	3698	3935	3931	2232	2349	2103	1762	1961	2222	2447	2055	3107	4639	4871	5258
"KCNJ6"	0	1	3	2	1	0	0	0	1	0	2	0	1	1	0	0	0	1
"LOC121107523"	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0
"KCNJ15"	0	0	7	7	3	2	0	0	1	2	1	1	6	6	7	1	1	4
"LOC121107524"	0	2	0	3	3	4	1	6	5	4	2	3	2	1	0	3	1	1
"ERG"	3210	7067	4977	6156	6747	6993	9708	7724	7996	8772	8932	9848	8534	9516	7772	8678	8981	9174
"ETS2"	1743	2543	2014	21552	21614	22539	1493	1624	1486	1393	1567	1755	2330	2316	2936	19453	21030	24708
"LOC112530800"	0	0	0	17	11	21	0	0	0	1	2	0	0	0	0	0	0	3
"PSMG1"	2171	2495	2494	1442	1455	1477	1583	1611	1636	1334	1436	1803	1597	1683	2286	2565	2709	2875
"BRWD1"	869	2237	1463	4206	4252	3893	2595	2808	1898	1855	1907	2101	2877	2853	3335	4247	3617	5246
"LOC124417521"	96	123	109	100	165	104	63	77	84	65	60	79	116	121	123	110	112	139
"HMGN1"	6165	6579	6272	3376	3293	3436	3619	3906	3334	2411	2727	3179	3662	3524	5708	4802	5139	5194
"WRB"	3474	3665	3374	1993	2180	2178	2085	1990	2154	1661	1948	2129	2714	2522	3790	3527	3621	3570
"LCA5L"	54	62	42	58	77	61	45	71	45	30	37	44	83	67	95	52	45	60
"SH3BGR"	0	3	4	5	9	7	0	0	1	0	0	1	4	1	1	6	0	1
"B3GALT5"	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0
"LOC101750362"	0	1	5	3	1	1	1	1	0	0	0	0	0	0	1	1	1	0
"IGSF5"	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PCP4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121107532"	0	0	1	3	3	2	0	0	0	0	0	0	0	0	2	0	0	0
"DSCAM"	0	5	4	8	9	8	1	5	6	3	4	8	20	16	13	19	17	11
"LOC121107534"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
"BACE2"	4066	5799	5205	1374	1539	1559	4813	3511	5025	4279	4861	5306	3803	4141	4094	2569	2610	2742
"LOC121107536"	34	71	41	27	16	15	35	60	39	38	34	48	43	31	59	26	24	27
"FAM3B"	0	0	4	5	8	6	3	2	4	2	2	2	0	1	2	1	0	1
"MX1"	42	42	49	24748	26029	27456	5	3	2	16	22	36	0	0	1	58	40	82
"TMPRSS2"	0	0	1	192	252	219	1	0	0	0	0	0	0	0	0	3	5	1
"LOC107056158"	0	0	1	3	1	2	0	0	0	0	0	0	0	0	0	2	0	0
"RIPK4"	5	1	3	7	8	7	1	4	0	2	2	2	2	8	5	6	4	1
"PRDM15"	233	458	286	701	668	617	348	552	337	361	405	439	465	751	367	424	409	525
"C2CD2"	2450	3805	3070	2394	2584	2653	2048	1550	2026	2150	2305	2420	1950	2232	1937	1524	1593	1705
"ZBTB21"	877	1660	1227	2286	2174	2216	945	1477	834	937	1071	1104	2217	2654	1859	2587	2718	2736
"UMODL1"	11	12	18	24	20	23	6	14	17	26	14	27	233	261	235	127	123	87
"LOC101747234"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"LOC112530909"	0	0	0	13	24	19	0	0	0	0	0	0	0	2	0	0	0	4
"LOC121107544"	1	0	0	48	35	25	0	0	0	0	0	1	1	0	0	4	2	3
"ABCG1"	1	7	11	15	14	10	4	2	9	3	5	4	7	7	17	6	12	17
"TFF3"	0	0	1	13	16	21	0	1	0	0	0	0	1	0	4	30	41	35
"TMPRSS3"	3	4	1	19	18	20	3	5	1	5	3	2	2	1	6	9	7	7
"UBASH3A"	2238	3060	2553	8461	9160	9748	1138	858	1029	1013	1212	1327	2048	2401	2547	6329	6580	6949
"RSPH1"	0	0	0	17	9	22	0	0	0	0	0	0	0	0	1	1	0	1
"SLC37A1"	575	834	752	719	747	848	728	700	732	674	718	837	1321	1358	1489	2060	2281	2182
"PDE9A"	157	230	181	191	201	263	281	247	306	272	356	367	164	195	188	450	443	453
"WDR4"	1300	2172	1719	1720	1672	1787	1335	1261	1178	1147	1286	1415	1909	2114	2096	2295	2520	2493
"NDUFV3"	1389	1621	1316	1064	1159	1196	1040	835	896	773	879	982	1082	1044	1501	1351	1412	1325
"PKNOX1"	1493	2330	2089	1130	1066	1129	2282	1750	2158	2033	2304	2492	2309	2383	2269	1965	1889	1932
"LOC418543"	0	0	0	0	2	0	19	30	23	24	33	27	0	0	0	1	3	1
"CYLY"	3	3	4	8	9	9	80	67	69	72	84	79	10	6	6	4	8	14
"CBS"	2245	3745	3142	1621	1774	1916	13347	11304	13527	13431	15212	16135	6701	7439	6684	5077	5179	5406
"U2AF1"	2312	3865	3292	2141	2217	2117	3024	2899	2410	2705	2737	3047	3289	4116	3016	2620	2730	2710
"LOC121107584"	0	0	0	2	2	0	0	0	0	1	0	0	1	0	1	0	0	0
"CRYAA"	1	2	2	1	0	1	8	0	2	3	3	4	0	0	3	1	2	3
"LOC121107586"	7	6	11	1	1	3	2	4	7	5	3	5	2	6	6	1	5	2
"LOC121107587"	0	0	1	0	1	1	3	0	0	0	0	0	2	0	2	0	0	0
"LOC101748713"	8	7	9	39	36	33	3	3	4	0	1	2	5	13	9	12	6	15
"SIK1"	7380	11068	8819	17094	20393	21185	4062	3246	4147	3626	4154	4543	8479	9028	11459	19164	20468	21820
"LOC121107592"	48	65	58	81	92	92	12	8	17	17	16	16	21	42	29	27	28	40
"HSF2BP"	277	404	304	272	328	303	244	303	219	160	192	206	449	450	658	654	631	750
"RRP1B"	2377	5314	3839	5307	5732	6031	4249	3446	3570	3222	3555	3981	3855	4089	4825	7831	7429	8878
"PDXK"	9951	12380	10679	2610	2731	2965	15791	12715	15889	13217	14695	16366	12239	12399	14151	11342	11790	10997
"AGPAT3"	3168	4367	3842	1407	1534	1555	3779	3003	3951	3278	3713	4095	3352	3301	3938	3238	3278	3317
"LOC124417566"	7	16	22	18	19	13	183	155	188	195	221	205	5	19	11	11	17	12
"LOC121107597"	10	14	6	5	2	1	4	13	8	3	3	7	2	5	10	5	4	1
"TRAPPC10"	2692	4687	4123	2870	2956	3137	5234	3201	5056	4810	5371	5794	4842	5162	4876	4792	4955	4630
"PWP2"	1114	2108	1753	3012	3006	2945	1566	1518	1305	1334	1484	1448	2181	2647	2400	3158	3223	3812
"GATD3A"	2655	3474	3113	1235	1392	1426	2109	1995	1903	1495	1537	1831	1644	1696	2165	1788	1858	2023
"VTCN1L"	596	682	629	301	362	324	347	436	381	319	319	350	382	310	497	358	336	375
"ICOSLG"	3222	4286	3700	4988	5383	5827	3410	3218	3421	2883	3229	3411	2132	2128	2496	2630	2695	2962
"LOC101749503"	13	22	11	119	112	97	16	17	25	14	23	23	19	30	54	15	24	22
"LOC107055472"	910	1234	965	3966	4063	3677	891	1194	897	623	820	908	638	589	1015	1773	1852	2087
"LOC101749541"	96	136	103	401	410	415	94	108	104	93	103	101	110	120	132	277	274	380
"MIR222"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MIR221"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC107055565"	24	32	21	24	30	27	33	37	47	30	31	45	17	21	17	41	41	35
"CXorf36"	1	0	4	11	8	5	0	5	3	6	6	2	2	2	4	6	0	3
"KDM6A"	3074	4518	3528	4558	5235	5479	2717	2500	2887	2608	2804	3088	3547	3290	4096	4837	4905	5129
"LOC121110721"	101	145	101	41	37	32	70	89	46	50	54	69	49	67	81	28	30	39
"LOC124417893"	80	102	60	34	33	42	34	58	41	47	44	42	53	42	66	36	27	27
"LOC107055549"	31	77	45	85	91	63	33	60	30	26	38	48	74	54	50	15	23	48
"FUNDC1"	1839	2077	1814	930	889	993	984	988	952	742	879	954	1221	1226	1582	1212	1192	1294
"EFHC2"	28	43	32	11	7	16	22	13	12	23	12	22	33	47	26	12	5	22
"NDP"	17	14	16	2	4	0	9	17	10	8	11	11	5	12	16	3	5	3
"MAOB"	1	0	1	4	7	5	0	0	0	0	0	1	3	1	1	0	1	1
"MAOA"	0	1	4	4	5	11	0	0	0	0	0	0	1	1	1	0	0	1
"LOC112531050"	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1
"LOC112532719"	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"LOC112532805"	0	0	2	6	0	0	0	1	2	0	0	0	2	1	1	1	2	0
"LOC100857444"	0	0	4	2	0	0	0	0	0	1	0	0	2	0	2	0	0	0
"LOC121107617"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121109082"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC425311"	0	2	3	3	1	3	2	0	0	0	0	0	0	0	1	0	0	0
"LOC101749881"	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
"LOC107056776"	0	0	1	1	3	0	0	0	0	0	0	0	0	1	3	1	2	4
"LOC101749987"	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	2	0
"LOC112531051"	27	48	34	3	3	10	0	6	2	0	4	4	219	196	279	87	77	84
"LOC101750030"	16	12	12	8	1	4	5	2	6	7	4	7	100	76	115	34	31	26
"CASK"	2369	4167	3466	1999	2269	2206	3949	2957	3759	3541	3965	4140	5891	6518	5483	4666	5050	6031
"GPR82"	25	55	47	12	9	12	33	40	32	22	31	33	46	51	60	25	21	40
"GPR34"	34	53	43	20	16	17	16	34	32	24	28	28	48	51	50	29	17	20
"LOC121109949"	7	19	16	18	28	19	27	19	10	10	14	35	16	18	26	18	12	21
"NYX"	85	224	130	371	373	355	166	208	160	153	159	187	192	204	223	158	149	186
"DDX3X"	8319	16144	15071	16698	17333	18992	15107	9568	14727	14220	16108	16889	16561	18365	16968	21257	21281	23919
"LOC101750611"	13	9	9	29	27	39	16	11	9	13	7	7	24	29	26	16	20	15
"RPL8"	47289	51710	54904	21420	22948	25194	24498	16227	26849	22025	25233	27391	32304	35823	38420	29726	30216	30444
"USP9Y"	8733	17204	14592	8195	9060	9543	17295	13977	15472	15326	17192	17981	20002	21765	20821	22944	22197	24466
"LOC112532721"	74	81	90	108	151	153	36	27	41	32	38	63	43	48	63	80	74	97
"LOC101750779"	2	3	3	18	20	23	4	3	4	2	3	5	2	2	4	5	2	3
"LOC107056757"	9	10	13	69	80	79	7	9	4	4	6	4	5	13	11	8	10	8
"MED14"	1937	3283	2413	1530	1946	2182	2280	1860	2335	2183	2362	2472	2360	2659	2615	2411	2673	2603
"ATP6AP2"	2018	3221	2735	2717	2680	2961	4294	3266	4024	3346	3640	4104	2216	2518	2640	3696	3644	3831
"LOC101750924"	7	3	5	2	2	5	1	2	0	0	0	1	5	6	7	3	5	3
"LOC121109442"	2	1	1	2	2	0	0	1	1	1	0	1	0	1	0	2	1	0
"LOC121109443"	8	7	4	1	1	2	2	7	13	7	5	2	3	4	2	0	0	3
"LOC107056538"	507	426	492	91	83	84	166	150	190	137	133	168	195	196	298	86	87	111
"LOC124417681"	15	16	17	10	7	2	16	10	16	9	7	7	9	7	4	3	4	8
"BCOR"	1190	1858	1686	1288	1428	1680	1860	1023	1865	1856	2018	2236	1740	1966	1748	1472	1633	1545
"LOC121107622"	37	48	61	69	64	72	35	26	32	40	49	48	51	35	41	54	59	82
"LOC121110003"	28	36	26	25	36	39	27	27	41	32	30	28	17	29	31	32	33	64
"LOC121109444"	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121106512"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC107057076"	0	1	1	1	4	4	0	0	0	0	0	0	1	1	0	0	0	2
"LOC107057081"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101751443"	0	0	1	3	3	2	3	6	5	2	2	7	0	0	1	0	0	1
"MIR6672"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC107057061"	1	6	4	3	2	1	0	0	2	1	0	2	7	8	12	2	0	3
"LOC107057049"	3	0	2	2	0	0	2	0	1	2	0	2	0	0	2	0	3	1
"LOC112531157"	0	0	3	2	2	2	1	0	0	1	0	0	1	0	1	0	0	0
"LOC121109446"	0	4	0	2	6	3	2	3	0	0	1	5	0	0	0	0	0	0
"LOC124417051"	35	20	27	33	56	48	10	9	17	17	23	20	28	18	22	17	39	43
"MID1IP1"	986	1064	1215	915	952	980	727	525	700	602	645	710	1030	1176	1225	1161	1283	1556
"LOC121109445"	1	5	4	6	4	5	4	6	8	6	9	11	5	1	6	0	2	6
"TSPAN7"	1	0	1	0	0	0	13	12	12	12	17	6	2	2	2	1	0	0
"LOC101751659"	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"LOC121109447"	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0
"OTC"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"RPGR"	79	169	96	84	94	84	135	242	94	87	101	113	155	154	130	78	69	104
"SRPX"	273	331	267	201	205	203	219	249	190	179	196	236	120	153	151	90	119	116
"SYTL5"	0	2	9	5	1	2	1	1	0	0	0	2	5	13	5	5	5	4
"DYNLT3"	1044	1399	1139	794	717	776	1118	1156	1078	1112	1223	1268	1784	1883	1719	1380	1433	1493
"CYBB"	0	2	7	8	7	3	8	10	13	7	7	9	3	2	1	5	4	3
"LOC121109448"	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0
"XK"	1	5	6	26	22	21	6	7	4	6	5	7	1	3	7	5	12	9
"LANCL3"	602	959	775	1036	1112	1161	876	898	782	733	876	902	838	1030	869	1395	1526	1545
"PRRG1"	1932	2800	2398	1898	1943	1992	1084	1003	1041	965	1053	1129	1571	1515	1549	1859	2199	1971
"LOC107056924"	1	1	2	1	5	2	0	0	0	0	0	0	1	0	0	0	0	0
"LOC112531221"	1	2	4	3	2	3	0	0	0	0	0	0	0	0	0	0	1	0
"LOC101750270"	0	1	6	5	5	5	0	1	0	0	0	0	0	0	0	0	0	2
"LOC107057105"	9	17	10	81	83	48	0	2	0	2	2	4	3	3	1	6	3	4
"C1HXORF59"	21	29	37	16	8	12	60	63	41	42	52	41	108	120	147	50	64	51
"LOC121107697"	1	0	3	2	1	2	0	1	0	0	0	0	0	0	0	1	0	1
"LOC121107623"	0	1	5	7	1	0	0	0	0	0	0	0	1	0	0	0	0	2
"TMEM47"	0	4	11	4	2	1	0	0	0	0	0	0	2	4	1	6	3	4
"LOC112531199"	4	0	17	12	7	3	0	1	1	1	0	0	0	0	0	0	1	0
"LOC107049118"	0	3	11	6	4	0	0	1	0	0	0	0	0	0	0	0	0	1
"LOC121107829"	2	1	8	4	2	5	0	2	1	0	0	3	0	0	0	0	1	2
"LOC121107835"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"LOC121107834"	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0
"LOC121107832"	0	0	5	6	0	0	2	0	0	0	0	0	0	0	1	0	0	0
"LOC121107833"	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"LOC107055619"	0	2	8	4	4	2	0	0	0	0	0	0	0	0	0	1	0	1
"LOC107055553"	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"LOC101748044"	1	1	14	10	4	6	0	0	1	0	0	0	0	1	0	3	2	1
"DMD"	11	30	31	24	22	22	16	13	15	19	18	10	95	111	108	87	70	112
"LOC107057229"	1	2	5	0	0	0	1	1	1	0	0	0	1	2	1	0	1	0
"LOC112532808"	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0
"LOC107057129"	0	2	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"TAB3"	2065	3563	2452	2558	2698	2668	2104	2501	2029	1922	2136	2251	3275	3601	3371	4342	4760	4800
"GK2"	657	1245	878	2068	2010	1930	397	786	377	385	435	450	1032	1339	1105	2194	2423	2677
"CXorf21"	0	0	0	3	3	2	0	0	0	0	0	0	2	0	2	0	0	1
"LOC101747311"	0	0	10	2	4	3	0	0	0	0	0	0	0	0	0	1	0	1
"LOC121107132"	1	1	1	2	2	1	0	0	0	1	0	0	0	0	0	0	1	1
"LOC121107136"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"NR0B1"	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
"LOC107057534"	0	0	8	3	6	4	0	0	0	1	0	3	0	1	3	2	0	2
"LOC101749197"	1	2	3	8	2	1	0	1	0	0	0	0	0	0	0	0	0	0
"IL1RAPL1"	0	0	2	3	1	1	1	1	2	1	1	1	4	9	10	8	5	7
"LOC124417343"	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC107049453"	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121107134"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC107057518"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC124417385"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC121107139"	1	0	5	1	1	1	3	1	2	1	1	0	9	6	7	0	0	1
"LOC100857292"	1	3	2	7	4	1	0	1	3	3	4	3	2	1	3	3	1	1
"LOC121107137"	2	1	1	4	0	2	3	3	0	0	0	4	3	1	3	0	0	1
"MROH2B1"	5	3	2	10	1	4	4	4	2	3	8	5	3	2	5	2	1	1
"LOC107057581"	0	1	1	2	1	2	0	2	0	0	1	2	0	0	2	0	0	3
"LOC112531406"	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
"LOC121108996"	0	0	2	0	0	1	0	0	0	0	1	0	0	2	2	0	1	0
"LOC112532747"	1	2	4	2	1	1	1	0	2	0	0	2	1	2	1	2	2	1
"ARX"	3	2	3	3	5	2	2	1	1	2	2	2	3	0	1	0	2	2
"POLA1"	625	1576	965	1269	1221	1132	1277	2123	862	1174	1123	1220	2473	3281	2254	1792	1694	2183
"LOC124417672"	5	19	10	8	2	5	5	9	10	14	8	10	22	30	22	12	7	3
"LOC112531632"	9	12	18	3	4	2	2	10	5	1	7	4	9	2	10	13	7	2
"LOC101749759"	15	9	9	8	10	8	8	4	6	5	4	7	14	12	17	6	10	4
"PCYT1B"	13	23	17	15	13	14	21	23	16	15	24	16	16	12	16	11	10	14
"LOC121109093"	1	0	1	2	3	0	0	0	2	0	0	0	0	0	1	0	2	0
"PDK3"	3759	4853	4438	1864	2026	2106	3043	2871	3106	2713	3110	3322	4131	4354	4654	3734	3970	4047
"LOC121109094"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"LOC107057637"	0	0	1	2	5	0	0	1	1	0	0	0	1	0	1	1	1	0
"SLC51AL"	1	2	2	2	2	1	2	1	2	4	0	1	0	0	0	0	0	1
"ZFX"	1487	2360	2027	3595	3837	4121	1936	1848	1749	1598	1817	1936	2159	2224	2340	3300	3428	3371
"LOC121109097"	43	84	42	33	44	46	57	57	48	45	43	63	83	66	83	43	41	57
"LOC107049214"	1317	1491	1315	751	867	850	744	752	814	642	699	735	849	960	1123	797	822	962
"EIF2S3"	16773	22505	19440	13973	13695	14417	9432	9539	9238	7441	8466	9539	16454	15822	20801	20017	20091	21696
"KLHL15"	1379	2058	1774	1932	2105	2090	1576	1453	1474	1513	1675	1842	2635	2839	2541	2041	2166	2073
"APOO"	2899	3046	3095	2332	2146	2150	939	1023	992	690	824	931	1439	1397	2248	2422	2598	2859
"SAT1"	6195	6853	7885	5152	5815	6422	6316	3021	6432	5186	5826	6276	3498	3941	4048	3955	4325	2891
"ACOT9"	6886	9491	8020	5900	6338	6779	7930	6099	8276	6789	7718	8423	6225	6581	7362	7108	7075	7166
"PRDX4"	1066	1263	980	416	556	626	1062	729	1114	850	1075	1193	883	980	976	717	765	809
"LOC112531487"	558	766	698	313	446	390	479	475	498	449	437	490	513	487	661	384	412	372
"LOC121109098"	5	2	3	1	4	1	5	4	4	3	2	6	1	3	1	1	1	0
"LOC112531488"	1	0	2	3	5	4	3	8	3	5	3	2	2	3	4	2	0	2
"PTCHD1"	1	4	7	3	1	8	1	2	1	2	1	2	4	4	0	3	5	1
"LOC107049245"	0	0	5	2	1	4	0	2	1	0	0	0	1	1	1	1	1	5
"LOC121109222"	0	0	1	1	0	1	1	1	0	0	0	0	0	0	3	0	0	1
"PHEX"	1	4	3	6	12	6	2	6	4	4	3	4	8	11	5	4	8	6
"SMS"	2230	3539	3056	2045	1914	1906	1361	1297	1325	1193	1361	1457	3039	3113	3388	3333	3584	3847
"LOC107049256"	22	27	19	17	13	25	24	33	26	32	29	36	33	28	34	14	27	18
"MBTPS2"	859	1137	1090	586	631	656	561	597	598	503	597	644	1092	1045	1241	911	913	958
"SMPX"	0	0	1	1	0	3	0	0	0	0	0	0	3	3	6	2	3	3
"LOC121109221"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"LOC121109220"	0	0	1	4	1	0	29	67	34	40	27	37	0	1	0	0	0	0
"KLHL34"	0	1	2	0	2	0	138	122	134	111	109	121	0	0	0	0	0	2
"CNKSR2"	0	2	8	8	5	2	117	132	106	94	111	122	1	2	0	1	2	1
"TRNAV-UAC"	7	8	7	72	55	34	4	8	1	8	8	6	7	3	5	7	13	10
"LOC121108909"	14	17	13	18	33	23	40	44	43	38	32	37	49	53	69	35	58	46
"LOC121109103"	8	7	7	3	2	3	15	24	13	11	17	12	11	9	13	7	13	6
"LOC121106836"	3	2	7	29	27	21	3	5	4	1	4	6	2	4	6	9	9	10
"LOC121106838"	0	0	2	2	4	8	0	0	0	2	0	1	1	2	2	3	2	0
"RPS6KA3"	7501	12147	10675	10685	10551	10873	8634	6692	8519	7568	8489	9140	10124	10569	11022	16586	17382	18582
"EIF1AX"	12187	13983	13324	7274	7863	8161	7577	6326	7277	5448	6373	7259	9282	9076	12123	12335	12972	12608
"MAP7D2"	0	0	1	0	6	2	3	1	2	2	0	0	2	4	1	1	3	1
"CXorf23"	927	1973	1461	3269	3587	3872	1483	1214	1171	1204	1207	1404	1727	1761	1947	3133	3085	3315
"SH3KBP1"	605	1289	976	1549	1801	1774	1392	791	1206	1372	1489	1621	1769	2092	1396	885	773	801
"LOC112531489"	17	20	17	59	52	63	8	25	9	14	8	23	25	28	29	15	11	5
"LOC121106840"	7	12	8	13	11	14	17	17	11	5	10	4	7	8	10	4	1	2
"MAP3K15"	9	4	9	7	6	11	2	2	3	4	6	1	6	5	10	7	5	8
